Comment,Comment_Lower,Tokens,No_Punctuation,No_Stopwords,Stemmed,Lemmatized,Translated,Emoji_Text
"I am using HP Envy 15x360 2 in 1 laptop.When I shutdown my laptop then my laptop power light goes off,after 3 or 4 seconds the charging light also goes off then I can&#39;t turn on my laptop.If I unplug the charger cable and plug it again the charger light is not on.I can&#39;t turn on my laptop even if the laptop is unpluged.After a long time when I plug the charging port again then the charging light is on then I can turn on my laptop but after shutdown the charging light goes of again and i can&#39;t turn it on.Pls help me to recover the problem.","i am using hp envy 15x360 2 in 1 laptop.when i shutdown my laptop then my laptop power light goes off,after 3 or 4 seconds the charging light also goes off then i can&#39;t turn on my laptop.if i unplug the charger cable and plug it again the charger light is not on.i can&#39;t turn on my laptop even if the laptop is unpluged.after a long time when i plug the charging port again then the charging light is on then i can turn on my laptop but after shutdown the charging light goes of again and i can&#39;t turn it on.pls help me to recover the problem.","['i', 'am', 'using', 'hp', 'envy', '15x360', '2', 'in', '1', 'laptop.when', 'i', 'shutdown', 'my', 'laptop', 'then', 'my', 'laptop', 'power', 'light', 'goes', 'off', ',', 'after', '3', 'or', '4', 'seconds', 'the', 'charging', 'light', 'also', 'goes', 'off', 'then', 'i', 'can', '&', '#', '39', ';', 't', 'turn', 'on', 'my', 'laptop.if', 'i', 'unplug', 'the', 'charger', 'cable', 'and', 'plug', 'it', 'again', 'the', 'charger', 'light', 'is', 'not', 'on.i', 'can', '&', '#', '39', ';', 't', 'turn', 'on', 'my', 'laptop', 'even', 'if', 'the', 'laptop', 'is', 'unpluged.after', 'a', 'long', 'time', 'when', 'i', 'plug', 'the', 'charging', 'port', 'again', 'then', 'the', 'charging', 'light', 'is', 'on', 'then', 'i', 'can', 'turn', 'on', 'my', 'laptop', 'but', 'after', 'shutdown', 'the', 'charging', 'light', 'goes', 'of', 'again', 'and', 'i', 'can', '&', '#', '39', ';', 't', 'turn', 'it', 'on.pls', 'help', 'me', 'to', 'recover', 'the', 'problem', '.']","['i', 'am', 'using', 'hp', 'envy', '15x360', '2', 'in', '1', 'i', 'shutdown', 'my', 'laptop', 'then', 'my', 'laptop', 'power', 'light', 'goes', 'off', 'after', '3', 'or', '4', 'seconds', 'the', 'charging', 'light', 'also', 'goes', 'off', 'then', 'i', 'can', '39', 't', 'turn', 'on', 'my', 'i', 'unplug', 'the', 'charger', 'cable', 'and', 'plug', 'it', 'again', 'the', 'charger', 'light', 'is', 'not', 'can', '39', 't', 'turn', 'on', 'my', 'laptop', 'even', 'if', 'the', 'laptop', 'is', 'a', 'long', 'time', 'when', 'i', 'plug', 'the', 'charging', 'port', 'again', 'then', 'the', 'charging', 'light', 'is', 'on', 'then', 'i', 'can', 'turn', 'on', 'my', 'laptop', 'but', 'after', 'shutdown', 'the', 'charging', 'light', 'goes', 'of', 'again', 'and', 'i', 'can', '39', 't', 'turn', 'it', 'help', 'me', 'to', 'recover', 'the', 'problem']","['using', 'hp', 'envy', '15x360', '2', '1', 'shutdown', 'laptop', 'laptop', 'power', 'light', 'goes', '3', '4', 'seconds', 'charging', 'light', 'also', 'goes', '39', 'turn', 'unplug', 'charger', 'cable', 'plug', 'charger', 'light', '39', 'turn', 'laptop', 'even', 'laptop', 'long', 'time', 'plug', 'charging', 'port', 'charging', 'light', 'turn', 'laptop', 'shutdown', 'charging', 'light', 'goes', '39', 'turn', 'help', 'recover', 'problem']","['use', 'hp', 'envi', '15x360', '2', '1', 'shutdown', 'laptop', 'laptop', 'power', 'light', 'goe', '3', '4', 'second', 'charg', 'light', 'also', 'goe', '39', 'turn', 'unplug', 'charger', 'cabl', 'plug', 'charger', 'light', '39', 'turn', 'laptop', 'even', 'laptop', 'long', 'time', 'plug', 'charg', 'port', 'charg', 'light', 'turn', 'laptop', 'shutdown', 'charg', 'light', 'goe', '39', 'turn', 'help', 'recov', 'problem']","['using', 'hp', 'envy', '15x360', '2', '1', 'shutdown', 'laptop', 'laptop', 'power', 'light', 'go', '3', '4', 'second', 'charging', 'light', 'also', 'go', '39', 'turn', 'unplug', 'charger', 'cable', 'plug', 'charger', 'light', '39', 'turn', 'laptop', 'even', 'laptop', 'long', 'time', 'plug', 'charging', 'port', 'charging', 'light', 'turn', 'laptop', 'shutdown', 'charging', 'light', 'go', '39', 'turn', 'help', 'recover', 'problem']",QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS,"I am using HP Envy 15x360 2 in 1 laptop.When I shutdown my laptop then my laptop power light goes off,after 3 or 4 seconds the charging light also goes off then I can&#39;t turn on my laptop.If I unplug the charger cable and plug it again the charger light is not on.I can&#39;t turn on my laptop even if the laptop is unpluged.After a long time when I plug the charging port again then the charging light is on then I can turn on my laptop but after shutdown the charging light goes of again and i can&#39;t turn it on.Pls help me to recover the problem."
Amazing ...,amazing ...,"['amazing', '...']",['amazing'],['amazing'],['amaz'],['amazing'],અમેઝિંગ ,Amazing ...
….,….,"['…', '.']",[],[],[],[],….,….
Great video. Thank you,great video. thank you,"['great', 'video', '.', 'thank', 'you']","['great', 'video', 'thank', 'you']","['great', 'video', 'thank']","['great', 'video', 'thank']","['great', 'video', 'thank']",સરસ વિડીયો. આભાર,Great video. Thank you
Fantastic video!  Can’t wait to the view the one on custom data types. Thank you,fantastic video!  can’t wait to the view the one on custom data types. thank you,"['fantastic', 'video', '!', 'can', '’', 't', 'wait', 'to', 'the', 'view', 'the', 'one', 'on', 'custom', 'data', 'types', '.', 'thank', 'you']","['fantastic', 'video', 'can', 't', 'wait', 'to', 'the', 'view', 'the', 'one', 'on', 'custom', 'data', 'types', 'thank', 'you']","['fantastic', 'video', 'wait', 'view', 'one', 'custom', 'data', 'types', 'thank']","['fantast', 'video', 'wait', 'view', 'one', 'custom', 'data', 'type', 'thank']","['fantastic', 'video', 'wait', 'view', 'one', 'custom', 'data', 'type', 'thank']",વિચિત્ર વિડિઓ! કસ્ટમ ડેટા પ્રકારો પર એક જોવા માટે રાહ જોઈ શકતા નથી. આભાર,Fantastic video!  Can’t wait to the view the one on custom data types. Thank you
ممنونم از به اشتراك گذاشتن اطلاعاتتون,ممنونم از به اشتراك گذاشتن اطلاعاتتون,"['ممنونم', 'از', 'به', 'اشتراك', 'گذاشتن', 'اطلاعاتتون']","['ممنونم', 'از', 'به', 'اشتراك', 'گذاشتن', 'اطلاعاتتون']","['ممنونم', 'از', 'به', 'اشتراك', 'گذاشتن', 'اطلاعاتتون']","['ممنونم', 'از', 'به', 'اشتراك', 'گذاشتن', 'اطلاعاتتون']","['ممنونم', 'از', 'به', 'اشتراك', 'گذاشتن', 'اطلاعاتتون']",ممنونم از به اشتراك گذاشتن اطلاعاتتون,ممنونم از به اشتراك گذاشتن اطلاعاتتون
"Hi Leila you are awesome ❤and I have a problem with this , I&#39;m not able to find data type although I check data menu and my office is 2021","hi leila you are awesome ❤and i have a problem with this , i&#39;m not able to find data type although i check data menu and my office is 2021","['hi', 'leila', 'you', 'are', 'awesome', '❤and', 'i', 'have', 'a', 'problem', 'with', 'this', ',', 'i', '&', '#', '39', ';', 'm', 'not', 'able', 'to', 'find', 'data', 'type', 'although', 'i', 'check', 'data', 'menu', 'and', 'my', 'office', 'is', '2021']","['hi', 'leila', 'you', 'are', 'awesome', 'i', 'have', 'a', 'problem', 'with', 'this', 'i', '39', 'm', 'not', 'able', 'to', 'find', 'data', 'type', 'although', 'i', 'check', 'data', 'menu', 'and', 'my', 'office', 'is', '2021']","['hi', 'leila', 'awesome', 'problem', '39', 'able', 'find', 'data', 'type', 'although', 'check', 'data', 'menu', 'office', '2021']","['hi', 'leila', 'awesom', 'problem', '39', 'abl', 'find', 'data', 'type', 'although', 'check', 'data', 'menu', 'offic', '2021']","['hi', 'leila', 'awesome', 'problem', '39', 'able', 'find', 'data', 'type', 'although', 'check', 'data', 'menu', 'office', '2021']","hi leila તમે અદ્ભુત છો ❤અને મને આ સાથે સમસ્યા છે, હું ડેટા પ્રકાર શોધી શકતો નથી તેમ છતાં હું ડેટા મેનૂ તપાસી રહ્યો છું અને મારી ઓફિસ 2021 છે","Hi Leila you are awesome :red_heart:and I have a problem with this , I&#39;m not able to find data type although I check data menu and my office is 2021"
"hey Leila~,<br>Not sure how I got unSub~d, <br>sure glad I had U in my e-mail","hey leila~,<br>not sure how i got unsub~d, <br>sure glad i had u in my e-mail","['hey', 'leila~', ',', '<', 'br', '>', 'not', 'sure', 'how', 'i', 'got', 'unsub~d', ',', '<', 'br', '>', 'sure', 'glad', 'i', 'had', 'u', 'in', 'my', 'e-mail']","['hey', 'br', 'not', 'sure', 'how', 'i', 'got', 'br', 'sure', 'glad', 'i', 'had', 'u', 'in', 'my']","['hey', 'br', 'sure', 'got', 'br', 'sure', 'glad', 'u']","['hey', 'br', 'sure', 'got', 'br', 'sure', 'glad', 'u']","['hey', 'br', 'sure', 'got', 'br', 'sure', 'glad', 'u']","હે લીલા ~,<br>મને ખાતરી નથી કે હું અનસબ કેવી રીતે મળી ~ડી, <br>ખાતરી કરો કે મને ખુશી છે કે તમે મારા ઈ-મેલમાં હતા","hey Leila~,<br>Not sure how I got unSub~d, <br>sure glad I had U in my e-mail"
How do you make tutorials on features we don&#39;t yet have?,how do you make tutorials on features we don&#39;t yet have?,"['how', 'do', 'you', 'make', 'tutorials', 'on', 'features', 'we', 'don', '&', '#', '39', ';', 't', 'yet', 'have', '?']","['how', 'do', 'you', 'make', 'tutorials', 'on', 'features', 'we', 'don', '39', 't', 'yet', 'have']","['make', 'tutorials', 'features', '39', 'yet']","['make', 'tutori', 'featur', '39', 'yet']","['make', 'tutorial', 'feature', '39', 'yet']",તમે અમારી પાસે હજુ સુધી ન હોય તેવા લક્ષણો પર ટ્યુટોરિયલ્સ કેવી રીતે બનાવો છો?,How do you make tutorials on features we don&#39;t yet have?
"An amazing insight; I&#39;m not sure if i will be using this feature, but you&#39;ve done a great job. I have noticed you have switched your laptop from Surface to hp.","an amazing insight; i&#39;m not sure if i will be using this feature, but you&#39;ve done a great job. i have noticed you have switched your laptop from surface to hp.","['an', 'amazing', 'insight', ';', 'i', '&', '#', '39', ';', 'm', 'not', 'sure', 'if', 'i', 'will', 'be', 'using', 'this', 'feature', ',', 'but', 'you', '&', '#', '39', ';', 've', 'done', 'a', 'great', 'job', '.', 'i', 'have', 'noticed', 'you', 'have', 'switched', 'your', 'laptop', 'from', 'surface', 'to', 'hp', '.']","['an', 'amazing', 'insight', 'i', '39', 'm', 'not', 'sure', 'if', 'i', 'will', 'be', 'using', 'this', 'feature', 'but', 'you', '39', 've', 'done', 'a', 'great', 'job', 'i', 'have', 'noticed', 'you', 'have', 'switched', 'your', 'laptop', 'from', 'surface', 'to', 'hp']","['amazing', 'insight', '39', 'sure', 'using', 'feature', '39', 'done', 'great', 'job', 'noticed', 'switched', 'laptop', 'surface', 'hp']","['amaz', 'insight', '39', 'sure', 'use', 'featur', '39', 'done', 'great', 'job', 'notic', 'switch', 'laptop', 'surfac', 'hp']","['amazing', 'insight', '39', 'sure', 'using', 'feature', '39', 'done', 'great', 'job', 'noticed', 'switched', 'laptop', 'surface', 'hp']","એક અદ્ભુત આંતરદૃષ્ટિ; મને ખાતરી નથી કે હું આ સુવિધાનો ઉપયોગ કરીશ કે નહીં, પરંતુ તમે સરસ કામ કર્યું છે. મેં નોંધ્યું છે કે તમે તમારા લેપટોપને સપાટીથી એચપી પર સ્વિચ કર્યું છે.","An amazing insight; I&#39;m not sure if i will be using this feature, but you&#39;ve done a great job. I have noticed you have switched your laptop from Surface to hp."
Those salaries!,those salaries!,"['those', 'salaries', '!']","['those', 'salaries']",['salaries'],['salari'],['salary'],તે પગાર!,Those salaries!
Thank you for this video.  I have traveling and this was one of the first things I looked at.  I always enjoy and learn something from your videos.  I can&#39;t wait until it rolls out to me.,thank you for this video.  i have traveling and this was one of the first things i looked at.  i always enjoy and learn something from your videos.  i can&#39;t wait until it rolls out to me.,"['thank', 'you', 'for', 'this', 'video', '.', 'i', 'have', 'traveling', 'and', 'this', 'was', 'one', 'of', 'the', 'first', 'things', 'i', 'looked', 'at', '.', 'i', 'always', 'enjoy', 'and', 'learn', 'something', 'from', 'your', 'videos', '.', 'i', 'can', '&', '#', '39', ';', 't', 'wait', 'until', 'it', 'rolls', 'out', 'to', 'me', '.']","['thank', 'you', 'for', 'this', 'video', 'i', 'have', 'traveling', 'and', 'this', 'was', 'one', 'of', 'the', 'first', 'things', 'i', 'looked', 'at', 'i', 'always', 'enjoy', 'and', 'learn', 'something', 'from', 'your', 'videos', 'i', 'can', '39', 't', 'wait', 'until', 'it', 'rolls', 'out', 'to', 'me']","['thank', 'video', 'traveling', 'one', 'first', 'things', 'looked', 'always', 'enjoy', 'learn', 'something', 'videos', '39', 'wait', 'rolls']","['thank', 'video', 'travel', 'one', 'first', 'thing', 'look', 'alway', 'enjoy', 'learn', 'someth', 'video', '39', 'wait', 'roll']","['thank', 'video', 'traveling', 'one', 'first', 'thing', 'looked', 'always', 'enjoy', 'learn', 'something', 'video', '39', 'wait', 'roll']",આ વિડિઓ માટે આભાર. મારી પાસે મુસાફરી છે અને આ પહેલી વસ્તુઓમાંની એક હતી જે મેં જોઈ હતી. હું હંમેશા આનંદ કરું છું અને તમારી વિડિઓઝમાંથી કંઈક શીખું છું. જ્યાં સુધી તે મારા સુધી પહોંચે ત્યાં સુધી હું રાહ જોઈ શકતો નથી.,Thank you for this video.  I have traveling and this was one of the first things I looked at.  I always enjoy and learn something from your videos.  I can&#39;t wait until it rolls out to me.
"I truly like all these ideas and suggestions from Leila, but I constantly run into issues when applying them in to a large corporate environment. Linking data via SharePoint gives enough trouble. But pivoting tables and images across multiple data sources and servers (SharePoint, which which are accessibly to everyone within the target audience)  always gives an error message like: &quot;This is not possible&quot;. Makes me feel like being back in 1998, which is also worth something.","i truly like all these ideas and suggestions from leila, but i constantly run into issues when applying them in to a large corporate environment. linking data via sharepoint gives enough trouble. but pivoting tables and images across multiple data sources and servers (sharepoint, which which are accessibly to everyone within the target audience)  always gives an error message like: &quot;this is not possible&quot;. makes me feel like being back in 1998, which is also worth something.","['i', 'truly', 'like', 'all', 'these', 'ideas', 'and', 'suggestions', 'from', 'leila', ',', 'but', 'i', 'constantly', 'run', 'into', 'issues', 'when', 'applying', 'them', 'in', 'to', 'a', 'large', 'corporate', 'environment', '.', 'linking', 'data', 'via', 'sharepoint', 'gives', 'enough', 'trouble', '.', 'but', 'pivoting', 'tables', 'and', 'images', 'across', 'multiple', 'data', 'sources', 'and', 'servers', '(', 'sharepoint', ',', 'which', 'which', 'are', 'accessibly', 'to', 'everyone', 'within', 'the', 'target', 'audience', ')', 'always', 'gives', 'an', 'error', 'message', 'like', ':', '&', 'quot', ';', 'this', 'is', 'not', 'possible', '&', 'quot', ';', '.', 'makes', 'me', 'feel', 'like', 'being', 'back', 'in', '1998', ',', 'which', 'is', 'also', 'worth', 'something', '.']","['i', 'truly', 'like', 'all', 'these', 'ideas', 'and', 'suggestions', 'from', 'leila', 'but', 'i', 'constantly', 'run', 'into', 'issues', 'when', 'applying', 'them', 'in', 'to', 'a', 'large', 'corporate', 'environment', 'linking', 'data', 'via', 'sharepoint', 'gives', 'enough', 'trouble', 'but', 'pivoting', 'tables', 'and', 'images', 'across', 'multiple', 'data', 'sources', 'and', 'servers', 'sharepoint', 'which', 'which', 'are', 'accessibly', 'to', 'everyone', 'within', 'the', 'target', 'audience', 'always', 'gives', 'an', 'error', 'message', 'like', 'quot', 'this', 'is', 'not', 'possible', 'quot', 'makes', 'me', 'feel', 'like', 'being', 'back', 'in', '1998', 'which', 'is', 'also', 'worth', 'something']","['truly', 'like', 'ideas', 'suggestions', 'leila', 'constantly', 'run', 'issues', 'applying', 'large', 'corporate', 'environment', 'linking', 'data', 'via', 'sharepoint', 'gives', 'enough', 'trouble', 'pivoting', 'tables', 'images', 'across', 'multiple', 'data', 'sources', 'servers', 'sharepoint', 'accessibly', 'everyone', 'within', 'target', 'audience', 'always', 'gives', 'error', 'message', 'like', 'quot', 'possible', 'quot', 'makes', 'feel', 'like', 'back', '1998', 'also', 'worth', 'something']","['truli', 'like', 'idea', 'suggest', 'leila', 'constantli', 'run', 'issu', 'appli', 'larg', 'corpor', 'environ', 'link', 'data', 'via', 'sharepoint', 'give', 'enough', 'troubl', 'pivot', 'tabl', 'imag', 'across', 'multipl', 'data', 'sourc', 'server', 'sharepoint', 'access', 'everyon', 'within', 'target', 'audienc', 'alway', 'give', 'error', 'messag', 'like', 'quot', 'possibl', 'quot', 'make', 'feel', 'like', 'back', '1998', 'also', 'worth', 'someth']","['truly', 'like', 'idea', 'suggestion', 'leila', 'constantly', 'run', 'issue', 'applying', 'large', 'corporate', 'environment', 'linking', 'data', 'via', 'sharepoint', 'give', 'enough', 'trouble', 'pivoting', 'table', 'image', 'across', 'multiple', 'data', 'source', 'server', 'sharepoint', 'accessibly', 'everyone', 'within', 'target', 'audience', 'always', 'give', 'error', 'message', 'like', 'quot', 'possible', 'quot', 'make', 'feel', 'like', 'back', '1998', 'also', 'worth', 'something']","મને લીલાના આ બધા વિચારો અને સૂચનો ખરેખર ગમે છે, પરંતુ જ્યારે હું તેમને મોટા કોર્પોરેટ વાતાવરણમાં લાગુ કરું છું ત્યારે હું સતત મુદ્દાઓમાં દોડું છું. શેરપોઈન્ટ દ્વારા ડેટાને લિંક કરવાથી પૂરતી મુશ્કેલી થાય છે. પરંતુ બહુવિધ ડેટા સ્રોતો અને સર્વર્સ (શેરપોઈન્ટ, જે લક્ષ્ય પ્રેક્ષકોમાં દરેકને સુલભ છે) પર કોષ્ટકો અને છબીઓને પિવોટિંગ કરવું હંમેશા એક ભૂલ સંદેશ આપે છે જેમ કે: ""આ શક્ય નથી"". મને 1998 માં પાછા આવવાનું લાગે છે, જે કંઈક મૂલ્યવાન પણ છે.","I truly like all these ideas and suggestions from Leila, but I constantly run into issues when applying them in to a large corporate environment. Linking data via SharePoint gives enough trouble. But pivoting tables and images across multiple data sources and servers (SharePoint, which which are accessibly to everyone within the target audience)  always gives an error message like: &quot;This is not possible&quot;. Makes me feel like being back in 1998, which is also worth something."
"Hi. Im hoping if you can help pls. Having issues with conditional format<br><br>A1 = NOW(). example result <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=11m00s"">11:00</a><br>B1 = <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=7m00s"">7:00</a>. On time format<br>Conditiinal format formula is highlight if a1 &gt; b1.<br><br>May i ask why its not highlighting when the statement is true?","hi. im hoping if you can help pls. having issues with conditional format<br><br>a1 = now(). example result <a href=""https://www.youtube.com/watch?v=wnrb1q9rry0&amp;t=11m00s"">11:00</a><br>b1 = <a href=""https://www.youtube.com/watch?v=wnrb1q9rry0&amp;t=7m00s"">7:00</a>. on time format<br>conditiinal format formula is highlight if a1 &gt; b1.<br><br>may i ask why its not highlighting when the statement is true?","['hi', '.', 'im', 'hoping', 'if', 'you', 'can', 'help', 'pls', '.', 'having', 'issues', 'with', 'conditional', 'format', '<', 'br', '>', '<', 'br', '>', 'a1', '=', 'now', '(', ')', '.', 'example', 'result', '<', 'a', 'href=', ""''"", 'https', ':', '//www.youtube.com/watch', '?', 'v=wnrb1q9rry0', '&', 'amp', ';', 't=11m00s', ""''"", '>', '11:00', '<', '/a', '>', '<', 'br', '>', 'b1', '=', '<', 'a', 'href=', ""''"", 'https', ':', '//www.youtube.com/watch', '?', 'v=wnrb1q9rry0', '&', 'amp', ';', 't=7m00s', ""''"", '>', '7:00', '<', '/a', '>', '.', 'on', 'time', 'format', '<', 'br', '>', 'conditiinal', 'format', 'formula', 'is', 'highlight', 'if', 'a1', '&', 'gt', ';', 'b1.', '<', 'br', '>', '<', 'br', '>', 'may', 'i', 'ask', 'why', 'its', 'not', 'highlighting', 'when', 'the', 'statement', 'is', 'true', '?']","['hi', 'im', 'hoping', 'if', 'you', 'can', 'help', 'pls', 'having', 'issues', 'with', 'conditional', 'format', 'br', 'br', 'a1', 'now', 'example', 'result', 'a', 'https', 'amp', 'br', 'b1', 'a', 'https', 'amp', 'on', 'time', 'format', 'br', 'conditiinal', 'format', 'formula', 'is', 'highlight', 'if', 'a1', 'gt', 'br', 'br', 'may', 'i', 'ask', 'why', 'its', 'not', 'highlighting', 'when', 'the', 'statement', 'is', 'true']","['hi', 'im', 'hoping', 'help', 'pls', 'issues', 'conditional', 'format', 'br', 'br', 'a1', 'example', 'result', 'https', 'amp', 'br', 'b1', 'https', 'amp', 'time', 'format', 'br', 'conditiinal', 'format', 'formula', 'highlight', 'a1', 'gt', 'br', 'br', 'may', 'ask', 'highlighting', 'statement', 'true']","['hi', 'im', 'hope', 'help', 'pl', 'issu', 'condit', 'format', 'br', 'br', 'a1', 'exampl', 'result', 'http', 'amp', 'br', 'b1', 'http', 'amp', 'time', 'format', 'br', 'conditiin', 'format', 'formula', 'highlight', 'a1', 'gt', 'br', 'br', 'may', 'ask', 'highlight', 'statement', 'true']","['hi', 'im', 'hoping', 'help', 'pls', 'issue', 'conditional', 'format', 'br', 'br', 'a1', 'example', 'result', 'http', 'amp', 'br', 'b1', 'http', 'amp', 'time', 'format', 'br', 'conditiinal', 'format', 'formula', 'highlight', 'a1', 'gt', 'br', 'br', 'may', 'ask', 'highlighting', 'statement', 'true']","hi. im hopeing if you can help pls. having issues with conditional format a1 = now(.<br><br>example result <a href=""https://www.youtube.com/watch?v=wnrb1q9rry0&amp;t=11m00s"">11:00</a><br>b1 = <a href=""https://www.youtube.com/watch?v=wnrb1q9rry0&amp;t=7m00s"">7:00</a>. on time format<br>conditiinal format formula is highlight if a1 &gt;<br><br>b1. Can I ask why its not highlighting when the statement is true?","Hi. Im hoping if you can help pls. Having issues with conditional format<br><br>A1 = NOW(). example result <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=11m00s"">11:00</a><br>B1 = <a href=""https://www.youtube.com/watch?v=WNrB1Q9Rry0&amp;t=7m00s"">7:00</a>. On time format<br>Conditiinal format formula is highlight if a1 &gt; b1.<br><br>May i ask why its not highlighting when the statement is true?"
"Hi Leila, that&#39;s amazing, I have an issue: the Geography was not copied on pivot table. How can I fix it?","hi leila, that&#39;s amazing, i have an issue: the geography was not copied on pivot table. how can i fix it?","['hi', 'leila', ',', 'that', '&', '#', '39', ';', 's', 'amazing', ',', 'i', 'have', 'an', 'issue', ':', 'the', 'geography', 'was', 'not', 'copied', 'on', 'pivot', 'table', '.', 'how', 'can', 'i', 'fix', 'it', '?']","['hi', 'leila', 'that', '39', 's', 'amazing', 'i', 'have', 'an', 'issue', 'the', 'geography', 'was', 'not', 'copied', 'on', 'pivot', 'table', 'how', 'can', 'i', 'fix', 'it']","['hi', 'leila', '39', 'amazing', 'issue', 'geography', 'copied', 'pivot', 'table', 'fix']","['hi', 'leila', '39', 'amaz', 'issu', 'geographi', 'copi', 'pivot', 'tabl', 'fix']","['hi', 'leila', '39', 'amazing', 'issue', 'geography', 'copied', 'pivot', 'table', 'fix']","હાય લીલા, તે અદ્ભુત છે, મારી પાસે એક સમસ્યા છે: ભૂગોળની પીવટ ટેબલ પર નકલ કરવામાં આવી ન હતી. હું તેને કેવી રીતે ઠીક કરી શકું?","Hi Leila, that&#39;s amazing, I have an issue: the Geography was not copied on pivot table. How can I fix it?"
This can be a life saver!👏🏼👏🏼👏🏼 My colleague just requested sth similar…will try when back in the office!🎊🎊🎊,this can be a life saver!👏🏼👏🏼👏🏼 my colleague just requested sth similar…will try when back in the office!🎊🎊🎊,"['this', 'can', 'be', 'a', 'life', 'saver', '!', '👏🏼👏🏼👏🏼', 'my', 'colleague', 'just', 'requested', 'sth', 'similar…will', 'try', 'when', 'back', 'in', 'the', 'office', '!', '🎊🎊🎊']","['this', 'can', 'be', 'a', 'life', 'saver', 'my', 'colleague', 'just', 'requested', 'sth', 'try', 'when', 'back', 'in', 'the', 'office']","['life', 'saver', 'colleague', 'requested', 'sth', 'try', 'back', 'office']","['life', 'saver', 'colleagu', 'request', 'sth', 'tri', 'back', 'offic']","['life', 'saver', 'colleague', 'requested', 'sth', 'try', 'back', 'office']",આ જીવન બચાવનાર બની શકે છે!👏🏼👏🏼👏🏼 મારા સાથીએ હમણાં જ સમાનની વિનંતી કરી છે... જ્યારે ઓફિસમાં પાછા આવશો ત્યારે પ્રયત્ન કરીશું!🎊🎊🎊,This can be a life saver!:clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone: My colleague just requested sth similar…will try when back in the office!:confetti_ball::confetti_ball::confetti_ball:
"ok thanks so much on this explanation , as usual amazing work , and if i want to implement it on dashboard how can i proceed it","ok thanks so much on this explanation , as usual amazing work , and if i want to implement it on dashboard how can i proceed it","['ok', 'thanks', 'so', 'much', 'on', 'this', 'explanation', ',', 'as', 'usual', 'amazing', 'work', ',', 'and', 'if', 'i', 'want', 'to', 'implement', 'it', 'on', 'dashboard', 'how', 'can', 'i', 'proceed', 'it']","['ok', 'thanks', 'so', 'much', 'on', 'this', 'explanation', 'as', 'usual', 'amazing', 'work', 'and', 'if', 'i', 'want', 'to', 'implement', 'it', 'on', 'dashboard', 'how', 'can', 'i', 'proceed', 'it']","['ok', 'thanks', 'much', 'explanation', 'usual', 'amazing', 'work', 'want', 'implement', 'dashboard', 'proceed']","['ok', 'thank', 'much', 'explan', 'usual', 'amaz', 'work', 'want', 'implement', 'dashboard', 'proceed']","['ok', 'thanks', 'much', 'explanation', 'usual', 'amazing', 'work', 'want', 'implement', 'dashboard', 'proceed']","ઠીક છે, આ સમજૂતી માટે ખૂબ ખૂબ આભાર, હંમેશની જેમ અદ્ભુત કાર્ય , અને જો હું તેને ડેશબોર્ડ પર અમલમાં મૂકવા માંગુ છું તો હું તેને કેવી રીતે આગળ ધપાવી શકું","ok thanks so much on this explanation , as usual amazing work , and if i want to implement it on dashboard how can i proceed it"
Does this work on pivot chart as well?,does this work on pivot chart as well?,"['does', 'this', 'work', 'on', 'pivot', 'chart', 'as', 'well', '?']","['does', 'this', 'work', 'on', 'pivot', 'chart', 'as', 'well']","['work', 'pivot', 'chart', 'well']","['work', 'pivot', 'chart', 'well']","['work', 'pivot', 'chart', 'well']",શું આ પિવોટ ચાર્ટ પર પણ કામ કરે છે?,Does this work on pivot chart as well?
